Subject	Course Number	Description
BIOMG	6880	This course will focus on the fundamentals of cancer genetics and genomics. Main topics include the genes and pathways that are mutated in various cancer types, mechanisms leading to cancer mutations and cancer development, current genetic and genomic methods used to study and to diagnose cancer, and how genetics and genomics are informing cancer treatment.
BIOMG	7510	Ethical issues in research and the professional responsibilities of scientists are discussed based on readings and occasional lectures. The topics are intended to cover the requirements for ethical training of graduate students on training grants and follow the recommendations of the Office of Research Integrity.
BIOMG	7800	Lectures and seminars on specialized topics in genetics, genomics and development. Topics for Fall and Spring to be announced in the course and time roster at the beginning of each semester.
BIOMG	7860	Each graduate student presents one seminar per year based on his or her thesis research. The student then meets with the thesis committee members for an evaluation of the presentation.
BIOMG	7870	Seminars in current research in genetics and developmental biology conducted by distinguished visitors and staff.
BIOMG	7940	Lectures and seminars on specialized topics. Topics for fall and spring to be announced in the course and time roster published at the beginning of each semester.
BIOMG	8300	Lectures on current research in biochemistry, presented by distinguished visitors and staff members.
BIOMG	8320	Research in the laboratories of two different professors chosen by the student. Arrangements are made jointly between the director of graduate studies and the research advisor.
BIOMG	8330	Each student presents one seminar per year on his or her thesis research and then meets with instructors and thesis committee members for evaluation.
BIOMG	8370	Introduction to concepts, historical perspectives and outstanding questions in selected topics through weekly lectures, discussions and analysis of research literature.
BIOMI	1200	This class will explore the current theories about the chemical origins of life on earth, and will then use these insights to discuss the search for life on other planets, inside the Solar system and outside. Topics will include origin of the Sun, the Big Bang, the formation of Earth, the origin of life, from the prebiotic synthesis of amino acids, nucleobases, and other building blocks of life, the evolution of primitive protocells, the earliest RNA-based catalysts, the evolution of protein synthesis machinery, and the origins of eukaryotic cells. We will conclude with strategies and progress in identifying life on other planets in our solar system and on planets orbiting other stars. 
BIOMI	1400	Though antibiotic resistance puts millions of lives at peril from infectious diseases each year, antibiotics and other antimicrobials have played a critical role in helping scientists understand biologicals systems better. This class examines the biology of microbial life through the lens of antibiotics and other antimicrobials. It is intended for non-life-science majors.
BIOMI	2600	This course provides an introduction to the microbiology of microbial diseases. The primary focus is on molecular mechanisms of pathogenesis, including detection of the host environment, binding of pathogenic microbes to host cell surfaces and their invasion of host cells and tissues, and the delivery and functions of microbial toxins. It will include host defenses and microbial countermeasures against these defenses. We will also study the evolution of pathogens and the co-evolution of their hosts.
BIOMI	2900	Comprehensive overview of the biology of microorganisms, with emphasis on bacteria. Topics include microbial cell structure and function, physiology, metabolism, genetics, diversity, and ecology. Also covers applied aspects of microbiology such as biotechnology, the role of microorganisms in environmental processes, and medical microbiology.
BIOMI	2911	This class will introduce you to current concepts and laboratory techniques in microbiology. Our goal is to show you how scientists use experiments to learn about the microbes around us, with an emphasis on bacteria. This course complements the Microbiology lecture by providing students with hands-on investigations into the microbial world.
BIOMI	3310	This course is an introduction to the basic animal parasites, stressing systematics, taxonomy, general biology, ecological interactions, and behavior of non-medically important groups. Introduces the major animal parasite groups: protozoan, nematode, platyhelminth, acanthocephalan, annelid, and arthropod.
BIOMI	3500	Marine microorganisms fuel globally significant elemental cycles through their activities. They also drive diseases in multicellular life through pathogenesis, modulation of host-associated microbiomes, and through induction of stressors (e.g. toxins, hypoxia). The purpose of this course is to provide junior- and senior-level students a background in biological oceanography, marine microbial ecology, biogeochemistry, and disease pathogenesis in marine habitats. The emphasis of the course is on understanding how biology affects and is affected by the oceans, and how organisms interact to produce ocean biological phenomena. The course is divided into 4 modules: 1) Marine microbial diversity and ocean structure; 2) Ocean biogeochemistry; 3) Marine disease pathogenesis; and 4) Pollution and climate change. This course will equip students with foundations for further undergraduate courses in ocean sciences and environmental dynamics, and for graduate studies in biological oceanography and marine biology.
BIOMI	3990	This course complements the Undergraduate Research Experience program coordinated by the Cornell Institute of Host-Microbe Interactions and Disease. The goal is to introduce students interested in research on host-microbe interactions to professional skills needed to successfully complete research projects and apply to graduate school. Course activities will address principles of the scientific method, electronic database literacy, science citation software, research ethics, science communication as well as planning for graduate study, including preparation of curriculum vitae and personal statement.
BIOMI	4040	Course in medical microbiology, presenting the major groups of bacterial pathogens important to human and veterinary medicine. Emphasizes infection and disease pathogenesis. Topics include disease causality; interactions of host, pathogen, and environment, including immunity to bacteria; and principles of antimicrobial therapy and drug resistance. Recommended for those planning to attend medical school, graduate school, or veterinary medical school, or those just interested in how bacteria cause disease.  A companion seminar addresses the current and classic literature related to the pathophysiology of medically important bacterial pathogens on the cellular and molecular levels.
BIOMI	4980	Designed to give qualified undergraduate students teaching experience through actual involvement in planning and assisting in biology courses. This experience may include supervised participation in a discussion group, assisting in a biology laboratory, assisting in field biology, or tutoring.
BIOMI	6906	This course is intended to give graduate students an introduction to virology in an environmental setting. As crucial components of ecosystem function in many habitats, viruses infecting bacteria (bacteriophage) and higher organisms infect and kill their hosts, mediate gene transfer, influence system biogeochemical cycling, and form important links in microbial food webs. This course will provide an overview of viral biology and lifestyles, infection kinetics, and then provide an appreciation for different types of viruses including uncultivated viruses recovered through metagenomics. The course will conclude with discussion of viral influence upon ecosystem processes and host communities.
BIOMI	7980	All graduate students in the field of microbiology are required to attend and present a seminar concerning their research at least once each year.
BIOMI	7990	Department of Microbiology weekly seminar.
BIOMS	3160	A comprehensive course covering the general characteristics of eukaryotic cells; the structure, composition, and function of subcellular organelles; and the major signal transduction pathways regulating a variety of physiological cell activities. Among the main subjects covered are absorption and transport processes, mechanism of action of signaling molecules (hormones), the cell cycle and regulation of cell proliferation, cell-cell communication, extracellular matrix, stem cells, apoptosis, and carcinogenesis.
BIOMS	3310	This course is an introduction to the basic animal parasites, stressing systematics, taxonomy, general biology, ecological interactions, and behavior of non-medically important groups. Introduces the major animal parasite groups: protozoan, nematode, platyhelminth, acanthocephalan, annelid, and arthropod.
BIOMS	4040	Course in medical microbiology, presenting the major groups of bacterial pathogens important to human and veterinary medicine. Emphasizes infection and disease pathogenesis. Topics include disease causality; interactions of host, pathogen, and environment, including immunity to bacteria; and principles of antimicrobial therapy and drug resistance. Recommended for those planning to attend medical school, graduate school, or veterinary medical school, or those just interested in how bacteria cause disease.  A companion seminar addresses the current and classic literature related to the pathophysiology of medically important bacterial pathogens on the cellular and molecular levels.
BIOMS	4130	Provides students with a basis for understanding the microscopic, fine-structural, and functional organization of vertebrates (primarily mammals), as well as methods of analytic morphology at the cell and tissue levels. Emphasizes dynamic interrelations of structure, composition, and function in cells and tissues.
BIOMS	4140	Undergraduate course surveying system- and organ-related aspects of pharmacology. Topics include mechanisms of drug action; drug disposition; pharmacokinetics; autonomic pharmacology; pharmacology of inflammation, allergy and platelet function; and endocrine, cardiovascular, respiratory, gastrointestinal, and renal pharmacology. The course is designed for undergraduate life science majors, particularly those interested in medical or veterinary school.
BIOMS	4311	The course will introduce students to a new world of investigation into the ancient realm of human and animal associations with their parasites. Initial discoveries were parasites in tissues of Egyptian mummies and has now expanded to include human and animal remains from around the world. Parasites have also been found in coproliths from latrines and cave habitations from the Middle Pleistocene and from dinosaurs living in the early Cretaceous. Vectors and their parasites have been found in ambers that are from the Eocene. The application of modern molecular methods has added greatly to identification of these parasites of the past and have allowed new interpretations of the various agents that people have carried with them as they have traveled around the globe.
BIOMS	4980	Students assist in teaching a course appropriate to their previous training. Students meet with a discussion or laboratory section and regularly discuss objectives with the course instructor.
BIOMS	5660	The goal of this intensive weekend workshop is to provide students an understanding of social issues of relevance to cancer patients. Topics to be covered may include but are not limited to psychological and economic impacts of cancer, health disparities, cancer advocacy, clinical trial access and patient rights, and public communication of science.
BIOMS	7050	This course covers selected topics in immunology at an advanced and in depth level through lectures, papers, and case based discussions.
BIOMS	7900	This course is organized as work-in-progress presentations by faculty, post-docs, and students participating in stem cell research. Each student in the Cornell Training Program in Stem Cell Research presents one seminar per year based on their research. The student then meets with the thesis committee members for an evaluation of the presentation.
BIONB	1220	The First-Year Writing Seminar is about introducing concepts in neuroscience and behavior and writing extensively about them. Topics vary by section.
BIONB	2220	An introduction to neuroscience: the structure and function of the nervous system of humans and other animals. Topics include the cellular and molecular basis for cell signaling, the functions of neurons in communication and in decision making; neuroanatomy, neurochemistry, sensory systems, motor systems, neural development, learning and memory, and other complex brain functions. The course will emphasize how the nervous system is built during development, how it changes with experiences during life, how it functions in normal behavior, and how it is disrupted by injury and disease. Discussion sections will include a dissection of a preserved sheep brain.
BIONB	3215	Why are boys more likely than girls to be diagnosed with autism, and why are women more likely than men to be diagnosed with depression? Are there different &quot;gay&quot; and &quot;straight&quot; brains? And how does brain science interact with gender and sexuality in popular debate? Reading and discussing the original scientific papers and related critical texts, we will delve into the neuroscience of gender. In this course, we will delve into the neuroscience of gender difference. Reading the original scientific papers and related critical texts, we will ask whether we can find measurable physical differences in male and female brains, and what these differences might be. Do men and women solve spatial puzzles differently, as measured physiologically? Do nonhuman animals display sex-specific behaviors mediated by brain structure, and can we extrapolate these findings to human behavior? Why are boys three times more likely than girls to be diagnosed as autistic, and is there any connection between the predominantly male phenomenon of autism and other stereotypically male mental traits? Are there physical representations of sexual orientation in the brain, and how are these related to gender identity? And how are scientific studies represented and misrepresented in popular debate?
BIONB	3280	Surveys the approaches that have been or are currently being used in order to understand the biological bases for learning and memory. Topics include invertebrate, &quot;simple system&quot; approaches, avian song learning, hippocampal and cerebellar function, research using MRI in humans. Many of the readings are from primary literature.
BIONB	3690	Why are chilies so spicy? This course examines the chemical basis of interactions between species and is intended for students with a basic knowledge of chemistry and biology. Focuses on the ecology and chemistry of plants, animals, and microbes. Stresses chemical signals used in diverse ecosystems, using Darwinian natural selection as a framework. Topics include: plant defenses, microbial warfare, communication in marine organisms, and human pheromones.
BIONB	4140	Undergraduate course surveying system- and organ-related aspects of pharmacology. Topics include mechanisms of drug action; drug disposition; pharmacokinetics; autonomic pharmacology; pharmacology of inflammation, allergy and platelet function; and endocrine, cardiovascular, respiratory, gastrointestinal, and renal pharmacology. The course is designed for undergraduate life science majors, particularly those interested in medical or veterinary school.
BIONB	4200	Courses on selected topics in neurobiology and behavior; can include lecture and seminar courses. Topics vary by section; see Class Roster.
BIONB	4260	Communication is the &quot;glue&quot; that holds societies together. This course examines how and why animals communicate. Topics include the role of the environment in shaping animal signals, whether animals tell the truth to each other, why some bird songs are simple and others complex, and what kinds of signals might be exchanged between species.
BIONB	4300	Experiments include PCR, immunoprecipitations, western blots, RNAi, antibody staining, optogenetics, and behavioral assays. Experiments emphasize how molecular techniques can be applied to studying neurobiological problems and will culminate in designing your own experiments. Labs frequently last to 1 or 2 PM but it is possible to attend one class on Tuesday if it meets after 11 AM as the experiments have incubation steps or other breaks. But plan on returning after class to finish the experiments. A section on Thursday will be scheduled after the course begins. If you have additional questions please contact me at dld14@cornell.edu.
BIONB	4330	A seminar series examining current and classical ideas in human sciences and the humanities.  Themes vary from semester to semester.
BIONB	4460	How do plants respond to antagonists, such as herbivores and pathogens? What are the checks and balances that keep mutualist organisms in their tight interactions? How are symbioses organized on molecular, metabolic and ecological levels? What are the molecular, plant hormonal, and metabolic mechanisms mediating plant biotic interactions with other organisms? What ecological and evolutionary consequences do these interactions have for the fitness of the plants and their interactors? This course provides an overview of plants&#039; myriad interactions with antagonists and mutualists, from microbes to multicellular organisms, and explains the underlying ecological and evolutionary concepts. It gives an introduction to the study of induced plant responses in the light of a behavioral biology framework.            
BIONB	4550	This course will examine the neural and molecular mechanisms of decision making across a variety of animal species and humans. The course involves the critical reading and discussion of classic and contemporary papers in this subject. Topics will include the neural mechanisms of motivation, attention, working memory, risk taking and neuroeconomics.
BIONB	4910	Laboratory-oriented course designed to teach the concepts and tools of cellular neurophysiology through hands-on experience with extracellular and intracellular electrophysiological techniques, and computer acquisition and analysis of laboratory results. Students explore signal transmission in the nervous system by examining the cellular basis of resting and action potentials, and synaptic transmission and optogenetic control of behavior and physiology. Lecture time is used to review nervous system physiology, introduce laboratory exercises, discuss lab results and primary research papers, and for presentation of additional experimental preparations and methods. Invertebrate preparations are used as model systems.
BIONB	4980	Designed to give qualified undergraduate students teaching experience through actual involvement in planning and assisting in biology courses.  This experience may include supervised participation in a discussion group, assisting in a biology laboratory, assisting in field biology, or tutoring.
BIONB	5910	Laboratory-oriented course designed to teach the concepts and tools of cellular neurophysiology through hands-on experience with extracellular and intracellular electrophysiological techniques, and computer acquisition and analysis of laboratory results. Students explore signal transmission in the nervous system by examining the cellular basis of resting and action potentials, and synaptic transmission. Lecture time is used to review nervous system physiology, introduce laboratory exercises, discuss lab results and primary research papers, and for presentation of additional experimental preparations and methods. Invertebrate preparations are used as model systems.
BIONB	7201	A weekly journal club-style discussion. Graduate students may be expected to present a summary of their research or a summary of research in the literature related to their thesis once per year.
BIONB	7202	A weekly journal club-style discussion. Graduate students may be expected to present a summary of their research or a summary of research in the literature related to their thesis once per year.
BIONB	7640	Group intensive study of current research in plant-insect interactions. Topics vary from semester to semester but include chemical defense, coevolution, insect community structure, population regulation, biocontrol, tritrophic interactions, and mutualism.
BME	2010	Covers essentials of human physiology, with an overview of complementary mechanisms of homeostasis and disease pathogenesis. Topics presented in a modular format incorporating an overview of basic physiological mechanisms and key diseases of specific organ systems susceptible to alterations in that physiological mechanism. Topics include: filtration and renal function, electrophysiology and cardiac arrhythmia, neural transmission and muscular dystrophy, mineral balance and osteoporosis, and lipid transport and atherosclerosis. Course utilizes best pedagogical strategies including engaged learning practices, small group discussion, and lectures by clinicians working in these areas.
BME	2080	This seminar focuses on building professional skills while activating curricular content within the context of experiential learning activities. Students will pursue individual and team based exercises, with reflective discussions. Students must complete both spring and fall seminars to receive credit for the course.
BME	2110	This course serves as an introduction to thermodynamics and physical chemistry focused on the application to biomolecular systems. Topics include the role of entropy and free energy in determining biological reactions and processes such as enzymatic reactions or molecular interactions, protein folding/unfolding, single molecule mechanics, energy states, and equilibrium distribution of biomolecular and other systems.
BME	3020	Genomic and proteomic thinking and tools have revolutionized the way scientists study biology and medicine. We are now beginning to understand the molecular level mechanisms that underlie normal and pathologic cellular functions. As a consequence, novel molecular level approaches provide the basis for better diagnostic and therapeutic strategies to effectively treat or prevent human diseases. This course aims to present a broad overview of molecular level techniques that are relevant in many aspects of biomedical engineering. We will discuss the underlying principles, how to interpret representative data, limitations of current approaches, and engineering challenges for the development of new and improved techniques.
BME	3110	The behaviors of cells are increasing appreciated to be governed by a system of regulatory pathways, which processes information often in a multivariate, dynamic and non-linear fashion. The ability to reduce this complexity to predictable models is useful for designing new cancer therapies and genetically engineering cellular &quot;machines&quot;. The course will cover: (1) analysis of dynamic control processes in cell biology, from intracellular pathways to networks to multicellular systems; (2) principles of computational systems biology, including genomic, proteomic, and transcriptomic algorithms; and (3) principles of synthetic biology, including gene circuit design and modeling. Students will learn to solve problems using computationally implemented algorithms and models, involving statistical methods, differential equation systems, multivariate regression, and logic-based approaches. This course is designed for upper-level undergraduate and Master&#039;s students in the biomedical, biological and/or engineering sciences.
BME	3210	The course in advanced biomaterials leads the class through the process of material design and characterization for their development as products in the medical device or pharmaceutical fields. Student teams will apply their fundamental knowledge of chemistry and biology to open-ended design challenges focused on biomaterial mechanics, processability, biocompatibility and federal regulatory requirements. Hands-on technical work in materials characterization will be combined with key knowledge of biomaterials to give the class an integrated understanding of biomaterials design and development. Specific topics to be covered are classes of biomaterials, methods of characterization, the interface of biomaterials and biology, the foreign body response, inflammation, wound healing, biofilms, sterilization methods, FDA-approval guidelines and EU-approval guidelines.
BME	3310	This course teaches the fundamentals and applications of medical imaging techniques, including x-ray imaging and computed tomography, nuclear medicine, magnetic resonance imaging, ultrasound, and optical imaging. Through lecture and demonstration labs, the class provides a rigorous introduction to medical imaging, beginning with the basic physical principles of image formation on to image reconstruction and descriptions and demonstrations of the hardware used in clinical applications. Concepts covered include resolution, point-spread-functions, modulation transfer functions, signal-to-noise, multi-dimensional Fourier transformation, image filtering in spatial domain and the structure and function of the human visual system.
BME	3410	This course analyzes how mechanical forces affect biological responses across biological scales, including molecular, cellular, tissue, organ, and organism level. Theoretical and empirical foundations and engineering approaches to applying, quantifying, and elucidating mechanobiological mechanisms across each scale will be presented. Applications in human health and disease pathogenesis will be emphasized.
BME	4020	Focuses on understanding how circulating agents and bioelectric activity comprises interorgan and central nervous system communication, and control of the human body. Additional emphasis includes examining medical devices involved in the treatment of human disease.
BME	4090	Substantial design experience based on the knowledge and skills acquired in earlier course work combined with the fundamental design theory articulated in BME 4080.
BME	4490	This course focuses on mastering experimental techniques related to measuring the mechanical behavior of biomedical materials and biological tissues. Students will learn techniques for measuring mechanical properties of cardiovascular and musculoskeletal tissues in tension, compression, shear, and bending. Students will learn to apply non-linear models to describe the behavior of elastic, viscoelastic, poroelastic, and hyperelastic materials.
BME	4900	Research or projects by an individual or a small group of undergraduates.
BME	4901	Intended for students pursuing the research honors program in BME. This course is the culmination of the program&#039;s honors project requirement. Students enrolled in the BME Honors program will prepare an honors thesis based on the subject matter of a BME 4900 project from the previous semester, under the supervision of their research mentor.
BME	4910	Laboratory-oriented course designed to teach the concepts and tools of cellular neurophysiology through hands-on experience with extracellular and intracellular electrophysiological techniques, and computer acquisition and analysis of laboratory results. Students explore signal transmission in the nervous system by examining the cellular basis of resting and action potentials, and synaptic transmission and optogenetic control of behavior and physiology. Lecture time is used to review nervous system physiology, introduce laboratory exercises, discuss lab results and primary research papers, and for presentation of additional experimental preparations and methods. Invertebrate preparations are used as model systems.
BME	4970	The student assists in teaching a biomedical engineering course appropriate to their previous training. The student may meet with a discussion or laboratory section, prepare course materials, grade assignments, and regularly discuss objectives and techniques with the faculty member in charge of the course.
BME	5010	Students must attend and report on 10 self-selected seminars to fulfill the requirements of the course.
BME	5320	Laboratory-oriented course designed to teach the concepts and tools of cellular neurophysiology through hands-on experience with extracellular and intracellular electrophysiological techniques, and computer acquisition and analysis of laboratory results. Students explore signal transmission in the nervous system by examining the cellular basis of resting and action potentials, and synaptic transmission. Lecture time is used to review nervous system physiology, introduce laboratory exercises, discuss lab results and primary research papers, and for presentation of additional experimental preparations and methods. Invertebrate preparations are used as model systems.
BME	5510	This course is designed to provide a working knowledge of Medical Device Regulatory Affairs specifically for Biomedical Engineers. It is geared for both experienced biomedical engineering professionals as well as those new to the industry and is intended for non-regulatory professionals who need a better understanding of the regulatory requirements necessary to bring medical devices to market. This course demonstrates important regulatory requirements and concepts using case study discussions of real products from a variety of clinical specialties. Strategies for using regulation as a competitive advantage will also be discussed. Instructor will be lecturing virtually (on-line) but in real-time.
BME	5620	This course will examine the wide variety of mineralized materials made by biological organisms including mollusk shells, sea urchins, mammalian bone and teeth, siliaceous sponges and diatoms, and magnetotactic bacteria. The focus will be on the molecular and biological mechanisms that lead to the formation of these materials as well as their unique mechanical, optical and optical properties.
BME	5780	Powerful imaging modalities with attending computer image processing methods are evolving for the evaluation of health and the detection of disease. This course focuses on the quantitative analysis of such images and Computer Aided Diagnosis (CAD), i.e., the automatic identification and classification of abnormalities by the computer.
BME	5830	Biological principles underlying biomaterial design and cellular adhesive behavior, incorporating biomechanical analysis across the molecular, cellular and tissue length scales. We will take an in-depth look at design considerations and biomaterials analysis, incorporating reading from the primary literature as well as the text.
BME	5910	Design and economic evaluation of a biomedical engineering device or therapeutic strategy. Team projects are encouraged.
BME	5911	The first of two required design courses for the biomedical engineering Master of Engineering program. Teams starting a new project will focus on the identification and ideation phases of a design process. The teams will identify and/or verify unmet healthcare need(s), roughly explore potential concepts, devise the requirements of the technology to be engineered, and implement the first interaction of a conceptual prototype.
BME	5920	Once a proposal for the project has been approved by the Sponsor or Faculty member, the student must (&quot;deliver on time and under budget&quot;) produce a tangible work product. Scheduling activities, ordering supplies, assembling, testing the device or procedure, and documenting the work and outcomes are the key expectation for the project. 
BME	5921	This course is the execution phase of your design project. From BME 5500 and BME 5911 your team should have applied Yock&#039;s Biodesign process and devised the product requirements of the solution to be engineered during this semester. The objective of the course is the engineering of a fully functional proof-of-concept prototype (product) based on the previously defined and proposed set of requirements.
BME	5930	Graduate-level, non-thesis research or studies on special projects in biomedical engineering.
BME	5940	Off-campus internship with industry in which a student gains knowledge and experience in the field of biomedical engineering.
BME	6230	Cancer and immunology had been investigated separately for a long time. Recently, they have become connected to each other as we appreciated the roles of immunity in cancer formation, progression, and treatment. As cancer immunotherapies are emerging, understanding of cancer and immunity in deeper manners as a separate topic is required, but also, the abilities to combine both topics in physiologically relevant contexts and relevant knowledge in bioengineering approaches (biomaterials, drug delivery systems, tissue engineering) are needed to be able to solve the multifactorial disease. In this course, we will discuss the topics in Cancer Engineering (module 1); Immune Engineering (module 2); and Cancer Immunotherapy (module 3). In each module, critical biological concepts will be discussed, followed by engineering perspectives, and updated case studies from experts in the cancer and immune-engineering field.
BME	6260	BME 6260 covers the fundamental optics, photophysics, spectroscopy and instrumentation required for understanding how to apply all modes of modern fluorescence microscopy, bioanalytical methods and single molecule fluorescence techniques for biomedical research and diagnostics. 
BME	6320	Current trends in the development of novel techniques for imaging cells and tissues. This course will emphasize both fundamentals as well as emerging applications to discovery-based biological studies or clinical disease diagnosis/management.
BME	6410	Mechanobiology describes how cells and tissues sense and respond to their physical environment. Examples range from muscle cells growing in response to exercise, bones adapting to mechanical load, and mechanical forces modulating immune cell function to the distribution of fluid shear stress determining the sites of atherosclerosis or tissue stiffness promoting the risk of cancer. This course will introduce examples of mechanobiology in physiology and disease, explain the cell and molecular components involved in mechanosensing and the cell/tissue response to mechanical stimuli, highlight experimental tools and approaches to study mechanobiology at the cell, molecular, and tissue level, analyze representative data of mechanobiology experiments, and discuss current limitations and engineering challenges to advance to field.
BME	7020	Designed to train graduate students in public presentation of scientific data. Students in their third year and beyond are required to give an annual seminar on their research; all students are required to attend the seminars and to provide constructive feedback to others on the quality of their presentation and data.
BME	7030	Guided individual experience in laboratory instruction and/or lectures/recitation instruction. Provides a preparatory teaching experience for graduate students considering an academic career.
BME	7130	Most diseases emerge due to a relative small number of biological effects, including mechanisms like infection, inflammation, neoplasia, genetic mutation, protein misfolding, and metabolic disregulation. Students learn about disease-state biology by focusing on these broad disease pathways. The course consists of several modules, each focused on one broad class of disease mechanism, and includes both a discussion of the underlying biology of the disease pathway as well as examples of specific diseases that involve those mechanisms. This course complements the training in fundamental normal-state biology students are already receiving by providing a mechanism-centered view of disease development.
BME	7900	Research-based seminars. May meet with other seminar series as appropriate.
BSOC	2061	Politicians, scientists, and citizens worldwide face many environmental issues today, but they are neither simple nor straightforward. Moreover, there are many ways to understand how we have, do, and could value the environment from animal rights and wise use to deep ecology and ecofeminism. This class acquaints students with some of the challenging moral issues that arise in the context of environmental management and policy-making, both in the past and the present. Environmental concerns also highlight important economic, epistemological, legal, political, and social issues in assessing our moral obligations to nature as well as other humans. This course examines various perspectives expressed in both contemporary and historical debates over environmental ethics by exploring four central questions: What is nature? Who counts in environmental ethics? How do we know nature? Whose nature?
BSOC	2071	This course offers an introductory survey of the history of medicine (principally in Europe and the United States) from classical antiquity to the early twentieth century. Using a combination of both primary and secondary sources, students will learn about the &quot;Hippocratic Heritage&quot; of contemporary western medicine; medicine in late antiquity; faith and healing in the medieval period; medicine and knowledge in the Islamic world; medicine during the Renaissance (particularly the rise of the mechanical philosophy); medicine in the age of Enlightenment; professionalization, women-doctors and midwives, and battles over &#039;quackery&#039; in the eighteenth and nineteenth centuries; the role of medicine in colonialism and empire; and the promises and perils of modern medicine (dramatic decreases in mortality on the one hand, the rise of Eugenics and the importance of Medicine to the National Socialist State on the other). As well as this temporal survey, we will consider a number of ongoing themes: race, bodily difference, and medicine; medicine and the environment; women, gender, and medicine; the history of the body; the history of sexuality; and the close connections between forms of social order and forms of medical knowledge. The course meets three times a week (for two lectures and a section) and is open to all.
BSOC	2131	Science fiction is not merely a literary genre but a whole way of being, thinking, and acting in the modern world. This course explores classic and contemporary science fiction from Frankenstein to The Hunger Games alongside a rich array of fiction and films from Asia, Africa, Europe, and Latin America. Our discussions will position these works vis-à-vis seminal thinkers, ranging from Plato to Descartes and Donna Haraway to Paul Crutzen, who ask the same questions as science fiction does about our selves, our world, and our future.
BSOC	2201	The actions of people are crucial to environmental well-being. This course addresses the interrelationships between social phenomena and the natural (i.e., biophysical) environment. It is intended to (1) increase student awareness of these interconnections in their everyday lives; (2) introduce students to a variety of social science perspectives, including sociology, economics, psychology, and political science, that help us make sense of these connections; (3) identify the contributions of each of these perspectives to our understanding of environmental problems; and (4) discuss how natural resource management and environmental policy reflect these perspectives.
BSOC	2211	Throughout most of the human career, people survived by hunting and gathering wild foods. The advent of food production is one of the most profound changes in history and prehistory. This course examines the current evidence for the appearance and spread of agriculture - plant and animal domestication - around the world. We will consider definitions of agriculture and domestication, the conditions under which it arises, the consequences for those who adopt it, and why it has spread over most of the world. 
BSOC	2468	Medicine has become the language and practice through which we address a broad range of both individual and societal complaints. Interest in this medicalization of life may be one of the reasons that medical anthropology is currently the fastest-growing subfield in anthropology. This course encourages students to examine concepts of disease, suffering, health, and well-being in their immediate experience and beyond. In the process, students will gain a working knowledge of ecological, critical, phenomenological, and applied approaches used by medical anthropologists. We will investigate what is involved in becoming a doctor, the sociality of medicines, controversies over new medical technologies, and the politics of medical knowledge. The universality of biomedicine, or hospital medicine, will not be taken for granted, but rather we will examine the plurality generated by the various political, economic, social, and ethical demands under which biomedicine has developed in different places and at different times. In addition, biomedical healing and expertise will be viewed in relation to other kinds of healing and expertise. Our readings will address medicine in North America as well as other parts of the world. In class, our discussions will return regularly to consider the broad diversity of kinds of medicine throughout the world, as well as the specific historical and local contexts of biomedicine.
BSOC	2581	This lecture course serves as an introduction to the historical study of humanity&#039;s interrelationship with the natural world. Environmental history is a quickly evolving field, taking on increasing importance as the environment itself becomes increasingly important in world affairs. During this semester, we&#039;ll examine the sometimes unexpected ways in which &quot;natural&quot; forces have shaped human history (the role of germs, for instance, in the colonization of North America); the ways in which human beings have shaped the natural world (through agriculture, urbanization, and industrialization, as well as the formation of things like wildlife preserves); and the ways in which cultural, scientific, political, and philosophical attitudes toward the environment have changed over time. This is designed as an intensely interdisciplinary course: we&#039;ll view history through the lenses of ecology, literature, art, film, law, anthropology, and geography. Our focus will be on the United States, but, just as environmental pollutants cross borders, so too will this class, especially toward the end, when we attempt to put U.S. environmental history into a geopolitical context. This course is meant to be open to all, including non-majors and first-year students.
BSOC	2721	This course examines the history of mental illness—its conception and treatment—in the United States, from the early 1800s to the present, focusing on four major questions: (1) How have understandings of mental illness been developed and deployed by psychologists, psychiatrists, psychoanalysts, and social workers, and how have those understandings varied across time and place? (2) How have understandings and treatments of mental illness shaped, and been shaped by, conceptions of race, class, gender, and sexuality? (3) In what ways have treatment of mental illness and &quot;social deviance&quot; operated as a form of social control? (4) How do conceptions of mental illness come to circulate in popular culture and everyday life? Pairing historical scholarship with autobiographical writing and case studies from the 1800s to the present, the course moves chronologically in order to track, and draw connections between, a wide range of movements within American psychological and social welfare history, including the creation and closing of mental hospitals, the pathologization of racial, gender, and sexual difference, psychopharmacology, anti-psychiatry, and the politics of diagnosis.
BSOC	3181	This course explores the history, sociology, and ethics of risk. In particular, we will focus on the complex and often ambiguous relationship between science, technology, and risk. A historical perspective shows how science and technology have generated risks while they have also played key roles in managing and solving those very risks. By examining several case studies, including 19th-century mining, the 1911 Triangle fire, nuclear science, the space shuttle disasters, asbestos litigation, Hurricane Katrina, and the contemporary financial crisis, we will consider how risk and ideas about risk have changed over time. By exploring different historical and cultural responses to risk, we will examine the sociopolitical dimensions of the definitions, perceptions, and management of risk both in the past and the present.
